,Network,maze_01.txt,maze_02.txt,maze_03.txt,maze_04.txt,maze_05.txt,maze_06.txt,maze_07.txt,maze_08.txt,maze_09.txt,maze_10.txt,maze_11.txt,maze_12.txt,maze_13.txt,maze_14.txt,maze_15.txt,maze_16.txt,maze_17.txt,maze_18.txt,maze_19.txt,maze_20.txt,std,mean,error
26,classification-vgg11_bn-pretrained-2.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,79.6875,59.210526315789465,45.83333333333333,97.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,76.78571428571429,14.927239179336262,88.90088722122391,6.542151018193234
27,classification-vgg11_bn-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,96.875,59.210526315789465,45.83333333333333,97.5,93.75,92.64705882352942,73.21428571428571,97.5,97.5,37.5,18.754906908083033,87.7959765069382,8.219700364598195
28,classification-vgg19_bn-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,98.21428571428571,22.820691688467413,83.41874773081237,10.001609110159606
29,classification-vgg19_bn-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,98.4375,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,78.57142857142857,23.648617506305907,81.62931320700284,10.364463598326347
30,classification-vgg19_bn-pretrained-2.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,32.8125,79.6875,59.210526315789465,45.83333333333333,62.5,93.75,7.352941176470589,73.21428571428571,97.5,97.5,78.57142857142857,25.660864290322614,78.34806320700285,11.24636963525342
31,classification-vgg19_bn-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,96.875,59.210526315789465,97.91666666666666,62.5,97.91666666666666,92.64705882352942,98.21428571428571,97.5,97.5,78.57142857142857,14.061440893912954,89.0190190893558,6.162698189275415
32,classification-xresnet18-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,20.454545454545457,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,20.3125,79.6875,53.94736842105263,45.83333333333333,62.5,27.083333333333332,98.52941176470588,98.21428571428571,97.5,97.5,78.57142857142857,28.522681196058237,77.41791299086192,12.50061619476848
33,classification-xresnet18-pretrained-1.pkl,97.22222222222221,98.33333333333333,83.33333333333334,17.307692307692307,65.9090909090909,43.18181818181818,25.0,97.72727272727273,98.07692307692307,62.5,96.875,97.36842105263158,39.58333333333333,17.5,97.91666666666666,92.64705882352942,12.5,97.5,87.5,78.57142857142857,32.24692647095538,70.3276797269638,14.13283865228075
34,classification-xresnet18-pretrained-2.pkl,97.22222222222221,41.66666666666667,83.33333333333334,98.07692307692307,97.72727272727273,43.18181818181818,97.72727272727273,34.090909090909086,71.15384615384616,62.5,79.6875,56.57894736842105,45.83333333333333,62.5,93.75,39.705882352941174,73.21428571428571,97.5,87.5,78.57142857142857,22.442822949467985,72.07608207603371,9.836000833512536
35,classification-xresnet18-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,96.875,59.210526315789465,45.83333333333333,97.5,97.91666666666666,7.352941176470589,73.21428571428571,97.5,32.5,37.5,28.18503371610056,80.48960395791859,12.352635662115574
36,classification-xresnet18_deep-pretrained-0.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,56.81818181818182,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,96.875,97.36842105263158,97.91666666666666,97.5,97.91666666666666,7.352941176470589,98.21428571428571,97.5,97.5,78.57142857142857,21.8455737115553,89.50978224454425,9.574244813997925
37,classification-xresnet18_deep-pretrained-1.pkl,91.66666666666666,98.33333333333333,98.33333333333333,98.07692307692307,56.81818181818182,97.72727272727273,25.0,97.72727272727273,98.07692307692307,70.3125,79.6875,98.68421052631578,39.58333333333333,62.5,93.75,7.352941176470589,87.5,97.5,97.5,98.21428571428571,27.626420826718913,79.7172338755156,12.107812768937647
38,classification-xresnet18_deep-pretrained-2.pkl,47.22222222222222,41.66666666666667,28.333333333333332,63.46153846153846,11.363636363636363,61.36363636363637,38.63636363636363,97.72727272727273,98.07692307692307,98.4375,26.5625,80.26315789473685,97.91666666666666,52.5,10.416666666666668,39.705882352941174,19.642857142857142,97.5,97.5,12.5,33.21800337813865,56.03984117877307,14.558431871545789
39,classification-xresnet18_deep-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,96.875,17.105263157894736,97.91666666666666,27.500000000000004,97.91666666666666,98.52941176470588,98.21428571428571,97.5,22.5,98.21428571428571,27.598619583739712,85.8330452818166,12.095628336982193
40,classification-xresnet18_deeper-pretrained-0.pkl,97.22222222222221,98.33333333333333,81.66666666666667,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,71.15384615384616,62.5,79.6875,59.210526315789465,97.91666666666666,62.5,93.75,98.52941176470588,98.21428571428571,97.5,97.5,78.57142857142857,14.160102819487651,88.16209506974795,6.205938684661121
41,classification-xresnet18_deeper-pretrained-1.pkl,97.22222222222221,41.66666666666667,68.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,62.5,14.0625,98.68421052631578,39.58333333333333,62.5,93.75,98.52941176470588,73.21428571428571,97.5,97.5,83.92857142857143,25.077896876743385,80.80187360261858,10.990872901229062
42,classification-xresnet18_deeper-pretrained-2.pkl,97.22222222222221,76.66666666666667,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,79.6875,69.73684210526315,45.83333333333333,97.5,93.75,98.52941176470588,73.21428571428571,97.5,97.5,76.78571428571429,14.248485578534131,88.63798732442308,6.244674136685435
43,classification-xresnet18_deeper-pretrained-3.pkl,97.22222222222221,98.33333333333333,83.33333333333334,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,62.5,79.6875,59.210526315789465,97.91666666666666,97.5,97.91666666666666,98.52941176470588,98.21428571428571,97.5,97.5,76.78571428571429,12.380430671173304,91.46062986828274,5.425962976007503
44,classification-xresnet50-pretrained-0.pkl,97.22222222222221,98.33333333333333,55.00000000000001,98.07692307692307,97.72727272727273,97.72727272727273,31.818181818181817,97.72727272727273,71.15384615384616,18.75,79.6875,53.94736842105263,97.91666666666666,62.5,27.083333333333332,92.64705882352942,73.21428571428571,92.5,97.5,37.5,27.640333877498115,73.90162688725964,12.113910432291721
45,classification-xresnet50-pretrained-1.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,11.363636363636363,43.18181818181818,97.72727272727273,34.090909090909086,98.07692307692307,62.5,64.0625,59.210526315789465,97.91666666666666,15.0,97.91666666666666,92.64705882352942,73.21428571428571,37.5,97.5,10.714285714285714,33.06227993439904,69.22941806537976,14.49018306319093
46,classification-xresnet50-pretrained-2.pkl,97.22222222222221,68.33333333333333,98.33333333333333,44.230769230769226,97.72727272727273,79.54545454545455,97.72727272727273,97.72727272727273,98.07692307692307,62.5,64.0625,59.210526315789465,97.91666666666666,97.5,97.91666666666666,33.82352941176471,73.21428571428571,97.5,97.5,80.35714285714286,20.478442550603347,82.02125857780851,8.975073164828759
47,classification-xresnet50-pretrained-3.pkl,97.22222222222221,98.33333333333333,98.33333333333333,17.307692307692307,97.72727272727273,79.54545454545455,97.72727272727273,97.72727272727273,21.153846153846153,51.5625,98.4375,59.210526315789465,97.91666666666666,97.5,27.083333333333332,92.64705882352942,12.5,97.5,97.5,37.5,32.975179209807,73.72176426085096,14.452009487539787
48,classification-xresnet50_deep-pretrained-0.pkl,97.22222222222221,98.33333333333333,81.66666666666667,67.3076923076923,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,62.5,98.4375,98.68421052631578,97.91666666666666,97.5,97.91666666666666,92.64705882352942,73.21428571428571,97.5,97.5,98.21428571428571,11.377588721970163,92.27733013138395,4.986448113262607
49,classification-xresnet50_deep-pretrained-1.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,98.4375,59.210526315789465,97.91666666666666,97.5,97.91666666666666,98.52941176470588,98.21428571428571,97.5,97.5,98.21428571428571,8.671149602442553,96.0164334397113,3.8002988710098373
50,classification-xresnet50_deep-pretrained-2.pkl,97.22222222222221,98.33333333333333,55.00000000000001,67.3076923076923,56.81818181818182,47.72727272727273,65.9090909090909,65.9090909090909,13.461538461538462,51.5625,29.6875,17.105263157894736,64.58333333333334,97.5,97.91666666666666,98.52941176470588,66.07142857142857,92.5,22.5,78.57142857142857,28.096483244351084,64.21079773769404,12.313826706758359
51,classification-xresnet50_deep-pretrained-3.pkl,91.66666666666666,68.33333333333333,83.33333333333334,67.3076923076923,20.454545454545457,47.72727272727273,88.63636363636364,56.81818181818182,98.07692307692307,57.8125,10.9375,59.210526315789465,22.916666666666664,97.5,60.416666666666664,98.52941176470588,33.92857142857143,97.5,22.5,37.5,29.307260844963874,61.055307759835614,12.8444733867968
52,classification-xresnet50_deeper-pretrained-0.pkl,97.22222222222221,51.66666666666667,81.66666666666667,67.3076923076923,29.545454545454547,34.090909090909086,88.63636363636364,65.9090909090909,13.461538461538462,62.5,29.6875,17.105263157894736,97.91666666666666,27.500000000000004,60.416666666666664,98.52941176470588,98.21428571428571,97.5,22.5,98.21428571428571,31.61927588577531,61.97953420955548,13.857758654863039
53,classification-xresnet50_deeper-pretrained-1.pkl,97.22222222222221,98.33333333333333,55.00000000000001,67.3076923076923,29.545454545454547,6.8181818181818175,79.54545454545455,22.727272727272727,13.461538461538462,98.4375,29.6875,11.842105263157894,22.916666666666664,7.5,6.25,7.352941176470589,73.21428571428571,92.5,10.0,78.57142857142857,36.23990893688304,45.41167886765797,15.88284037672943
54,classification-xresnet50_deeper-pretrained-2.pkl,97.22222222222221,98.33333333333333,83.33333333333334,67.3076923076923,97.72727272727273,47.72727272727273,88.63636363636364,97.72727272727273,98.07692307692307,62.5,10.9375,98.68421052631578,22.916666666666664,97.5,97.91666666666666,98.52941176470588,98.21428571428571,97.5,97.5,78.57142857142857,26.56547809276131,81.84309280008779,11.642834114558367
55,classification-xresnet50_deeper-pretrained-3.pkl,97.22222222222221,98.33333333333333,58.333333333333336,98.07692307692307,97.72727272727273,97.72727272727273,68.18181818181817,97.72727272727273,88.46153846153845,62.5,96.875,59.210526315789465,97.91666666666666,97.5,97.91666666666666,57.35294117647059,80.35714285714286,82.5,97.5,76.78571428571429,15.902463232759587,85.41028223797187,6.969561804435733
56,classification-xresnext18-pretrained-0.pkl,97.22222222222221,98.33333333333333,98.33333333333333,98.07692307692307,97.72727272727273,97.72727272727273,97.72727272727273,97.72727272727273,98.07692307692307,98.4375,98.4375,96.05263157894737,97.91666666666666,97.5,97.91666666666666,98.52941176470588,73.21428571428571,97.5,97.5,98.21428571428571,5.534627822981374,96.6085387028692,2.4256575923002126
